w_market_value,w_league,w_age,w_position,w_club,coverage,avg_width_pct,n_evaluated
0.1,0.4,0.1,0.3,0.1,0.5401,0.8756,474
0.1,0.6,0.1,0.1,0.1,0.5401,0.8961,474
0.2,0.1,0.4,0.1,0.2,0.538,0.7812,474
0.1,0.3,0.1,0.4,0.1,0.538,0.8538,474
0.1,0.5,0.1,0.2,0.1,0.538,0.8897,474
0.2,0.4,0.1,0.1,0.2,0.5359,0.862,474
0.1,0.2,0.1,0.5,0.1,0.5338,0.8164,474
0.1,0.5,0.1,0.1,0.2,0.5338,0.8682,474
0.2,0.3,0.1,0.2,0.2,0.5316,0.8321,474
0.2,0.4,0.2,0.1,0.1,0.5316,0.849,474
0.2,0.4,0.1,0.2,0.1,0.5316,0.8796,474
0.1,0.5,0.2,0.1,0.1,0.5295,0.9207,474
0.1,0.4,0.1,0.2,0.2,0.5274,0.856,474
0.3,0.3,0.1,0.2,0.1,0.5274,0.8685,474
0.2,0.3,0.3,0.1,0.1,0.5253,0.836,474
0.2,0.3,0.1,0.3,0.1,0.5253,0.8471,474
0.1,0.4,0.1,0.1,0.3,0.5253,0.8611,474
0.2,0.5,0.1,0.1,0.1,0.5253,0.8992,474
0.1,0.3,0.1,0.3,0.2,0.5232,0.8354,474
0.2,0.1,0.2,0.3,0.2,0.5211,0.7478,474
0.1,0.2,0.1,0.4,0.2,0.5211,0.8085,474
0.3,0.2,0.3,0.1,0.1,0.519,0.7881,474
0.3,0.3,0.2,0.1,0.1,0.519,0.8065,474
0.3,0.1,0.4,0.1,0.1,0.5169,0.7695,474
0.2,0.3,0.2,0.1,0.2,0.5169,0.793,474
0.2,0.2,0.2,0.3,0.1,0.5169,0.7992,474
0.2,0.1,0.3,0.1,0.3,0.5148,0.7481,474
0.2,0.2,0.2,0.2,0.2,0.5148,0.7727,474
0.1,0.1,0.1,0.6,0.1,0.5148,0.7733,474
0.2,0.1,0.3,0.3,0.1,0.5148,0.7836,474
0.1,0.4,0.2,0.2,0.1,0.5148,0.8971,474
0.2,0.1,0.3,0.2,0.2,0.5127,0.7649,474
0.2,0.3,0.2,0.2,0.1,0.5127,0.8177,474
0.2,0.2,0.1,0.4,0.1,0.5127,0.82,474
0.1,0.2,0.2,0.4,0.1,0.5127,0.8516,474
0.1,0.1,0.5,0.1,0.2,0.5127,0.8757,474
0.3,0.4,0.1,0.1,0.1,0.5127,0.8873,474
0.3,0.1,0.3,0.1,0.2,0.5084,0.7563,474
0.2,0.2,0.1,0.3,0.2,0.5084,0.8041,474
0.1,0.1,0.2,0.5,0.1,0.5084,0.8113,474
0.1,0.2,0.1,0.3,0.3,0.5084,0.8174,474
0.2,0.1,0.2,0.2,0.3,0.5063,0.742,474
0.3,0.2,0.2,0.1,0.2,0.5063,0.7744,474
0.2,0.1,0.4,0.2,0.1,0.5063,0.8033,474
0.1,0.4,0.2,0.1,0.2,0.5063,0.8715,474
0.2,0.1,0.2,0.4,0.1,0.5042,0.7735,474
0.3,0.1,0.3,0.2,0.1,0.5042,0.7755,474
